number,value,ELITE_SIZE,POP_SIZE,P_CROSSOVER_MAX,P_CROSSOVER_MIN,crossover_type,k,mutation_rate,rosenbrock_mean,salomon_mean,whitley_mean
1443,27.103743984735384,2,26,0.7459218405548322,0.24158148030645932,one_point,2,0.007816440713209711,15.425165003448749,0.2998733461296397,65.58619360462777
1235,27.173164144519685,2,26,0.8244656700159885,0.2671912657988191,two_point,2,0.009317819107132086,13.56604478846494,0.2598733497400459,67.69357429535407
581,27.232543100011842,0,30,0.8053919033846988,0.239371564799224,two_point,3,0.013616152527310648,34.6060696019656,0.33987334639914496,46.751686351670784
51,27.26945834879687,2,24,0.7987696590134918,0.11913685089761428,one_point,5,0.01043230632457998,13.678475596445244,0.31987334629079905,67.81002610365456
612,27.292521216978646,4,22,0.8289534054257918,0.1566043696378148,two_point,3,0.008024582222590997,11.966427982043019,0.3798733461906547,69.53126232270226
372,27.337044225779774,4,26,0.7971217914769176,0.12055226708448646,two_point,3,0.0069889112785860045,29.402144076655883,0.3398733459803923,52.26911525470304
1140,27.365258524337875,2,26,0.79256157424541,0.2716363647065531,one_point,2,0.013985956269425347,17.614091032755216,0.33987334607537617,64.14181119418303
1230,27.46767188437146,2,20,0.8253139776937831,0.2797865867313005,one_point,2,0.009057438342863664,32.341033187895526,0.23987334892068185,49.822109116298165
138,27.518891672085417,4,24,0.8558257651167429,0.255947309683366,two_point,3,0.012035062818749435,17.277670162720177,0.29987334635267626,64.9791315071834
1421,27.519587972309484,2,26,0.7901268319446821,0.2605625613025979,one_point,2,0.01036158635668154,21.149415295751957,0.29987334643831354,61.10947527473818
1373,27.54483589921708,2,30,0.7822427138920114,0.21232146514582043,two_point,2,0.011886626559550133,14.637310948492276,0.35987334680222627,67.63732340235674
958,27.57560436742126,6,26,0.8000770434617246,0.27130516833031976,two_point,4,0.0141674585047309,13.684611312342145,0.33987334703730643,68.70232844288432
448,27.627616365804446,2,26,0.8486606311313053,0.2699117534169153,two_point,3,0.005876180472826651,13.510353516677117,0.3998733630658867,68.97262221767033
345,27.69115112506715,0,30,0.8084697351280543,0.12793206987866124,two_point,3,0.01270338854980307,14.654217845763327,0.29987334798210835,68.11936218145601
127,27.754441439346987,4,24,0.8901149912710133,0.2536096497748834,one_point,6,0.02579835989267338,13.962670603808712,0.31987334906119064,68.98078036517106
1219,27.76748664079912,2,20,0.8165625013568675,0.27915495628960474,one_point,2,0.01140088914996824,28.282169293980353,0.33987334610187375,54.680417282315126
532,27.783303749724286,6,30,0.819094819918918,0.20995678367674464,two_point,4,0.01985254789913319,13.918343727744377,0.27987335117369744,69.15169417025479
49,27.95345894296476,2,24,0.8059837155225287,0.12645629727964497,one_point,2,0.01104151264475932,32.21075108641484,0.33987335088713977,51.30975239159231
164,28.023124264928672,2,30,0.8006591846502358,0.18687674611217917,two_point,3,0.013256440172134398,33.77384167156688,0.33987334780145595,49.955657775417684
806,28.046605434528633,2,24,0.780316675448061,0.26657820670774773,two_point,2,0.008179078139455455,29.218941421198245,0.2798733466014939,54.64100153578617
346,28.06112279947274,0,30,0.8275933118822127,0.12843548703500285,two_point,3,0.012968703561972548,14.951524990554864,0.27987334594879737,68.95197006191457
933,28.084888430989334,2,26,0.7897717676858825,0.20047588485862491,two_point,2,0.00964289025310827,27.407800978701694,0.2998733463671929,56.54699096789911
738,28.108974558407585,2,22,0.8219184033613335,0.13389548717628294,two_point,2,0.016291526784451293,13.831737877426118,0.2798733526481542,70.21531244514848
219,28.178976274367358,0,28,0.8727742550586381,0.11983992373764882,two_point,6,0.014965363223049585,32.200683351767694,0.33987334602839936,51.99637212530598
1394,28.211196043628522,2,26,0.7846385098947586,0.26896172944381835,one_point,2,0.011877351272265562,13.69595440304524,0.35987335075167504,70.57776037708865
615,28.227848474909393,4,22,0.8204314635897657,0.14615746140781005,two_point,3,0.00813757103370567,15.57344498147433,0.3398733523244332,68.77022709092941
952,28.274409893580852,6,26,0.7773873279389197,0.28767080531737277,two_point,4,0.013421267628616035,26.26201081502044,0.2798733459232951,58.28134551979882
778,28.29720649131472,4,30,0.8122892383392082,0.14189046537474845,two_point,4,0.010977783793461551,27.944525791238554,0.31987334599797135,56.62722033670764
1085,28.301519020420404,2,24,0.8210976536749011,0.25212870990784797,one_point,2,0.014608646535864606,14.067345989329208,0.31987334603077133,70.51733772590124
1097,28.37384532389085,2,20,0.8132107023569062,0.2893314935411174,two_point,2,0.010918048017727765,13.696344800575503,0.21987334689257723,71.20531782420449
1233,28.407478511753297,2,26,0.8251548590256351,0.19208334987659,two_point,2,0.009419407945499165,26.923049708602157,0.2798733462955958,58.01951248036214
1386,28.54294427489877,2,28,0.7797898295322518,0.26994175438203744,one_point,2,0.016678457369058784,13.56386769007445,0.29987335065130344,71.76509178397055
496,28.614336621671786,4,30,0.8232442331701542,0.21138638332848786,two_point,4,0.01784413581342352,13.521524343752684,0.2798733666588854,72.0416121546038
770,28.638339345989493,0,30,0.8108089299646619,0.1424105068222747,one_point,3,0.011262690491536557,14.042809839987438,0.33987334627748894,71.53233485170355
373,28.685668256322813,4,26,0.8160293716886754,0.11959591092639324,two_point,3,0.006779621238074889,27.492514619860714,0.3198733459840675,58.24461680312366
357,28.74450343246671,4,26,0.813107037420078,0.1266685388232886,two_point,3,0.009162073752376829,29.041580846153106,0.29987334676883903,56.892056104478186
194,28.76367687771234,6,24,0.8242985990722005,0.1789255946469753,two_point,2,0.007197419827184717,31.044421625035575,0.2998733463965725,54.94673566170487
727,28.767248590069006,2,22,0.819654448860511,0.13789113146329834,two_point,2,0.009815206505949928,32.270263238751625,0.319873346138973,53.71160918531642
1259,28.794844569672065,4,30,0.8037017766776163,0.2626488075011321,two_point,4,0.01502360878565306,13.765666466724436,0.25987334636397863,72.35899389592778
1317,28.83835424287419,2,30,0.7889704514368548,0.1932169619502119,one_point,2,0.007757088942664469,34.761649967737846,0.33987334811745273,51.41353941276727
459,29.01539356145219,0,26,0.8143998208978309,0.14716412325190092,two_point,2,0.007706961503074821,28.70137759232124,0.3198733463230908,58.024929745712235
902,29.050039588892457,6,28,0.821983432963984,0.266322595578783,one_point,4,0.009432134796301566,13.157738209660758,0.31987334586875454,73.67250721114786
199,29.05749436502757,0,22,0.8359243611701949,0.13506254184174232,two_point,2,0.01832010274809483,14.001862549806201,0.31987336030413316,72.85074718497238
625,29.06715708177188,4,22,0.8223575486692849,0.15084542949137578,two_point,3,0.008541179084144344,41.97738317767837,0.29987334657046844,44.924214721066804
936,29.114460549251394,2,26,0.7890022972913373,0.20048189986620926,two_point,2,0.009615819407287465,26.57802741068063,0.27987334650148327,60.48548089057208
424,29.16534711867517,4,20,0.808766806690807,0.2645172341768941,one_point,3,0.009549175948484964,15.108975935423388,0.29987334668321297,72.08719207391891
854,29.239579554169197,2,26,0.8191181145251958,0.28619554772874944,one_point,2,0.009808106693930209,35.703989361644446,0.3198733464673046,51.69487595439584
14,29.300858750858982,4,24,0.8812073074776313,0.1313938748729105,two_point,2,0.009570460758972044,13.66088356888037,0.27987335227892723,73.96181933141764
27,29.32031777416184,6,30,0.8257196520802182,0.2998985779051698,one_point,6,0.014658689886573026,31.11081068883893,0.31987334747173857,56.53026928617485
843,29.37973875092794,2,30,0.8204726092350965,0.26169113744960854,two_point,2,0.006278531088644311,13.372594942028709,0.3198733459334718,74.44674796482164
