1,125.541,2,4,2,0.871,0.17,2,,,,,,k,n_elites,,,,,,,id,val,cr_type,k,n_elites,p_max,p_min,pop_size
95,112.591,0,6,3,0.87,0.203,1,,,94,119.69,one_point,6,6,0.853,0.272,22,,,,295,79.426,one_point,5,6,0.875,0.111,22
96,84.103,0,6,3,0.869,0.267,1,,,95,112.591,one_point,6,6,0.87,0.203,22,,,,1195,79.501,one_point,5,6,0.849,0.106,26
97,121.005,0,6,3,0.869,0.27,1,,,96,84.103,one_point,6,6,0.869,0.267,22,,,,1049,79.584,one_point,5,6,0.869,0.109,20
98,136.977,0,5,3,0.861,0.19,2,,,97,121.005,one_point,6,6,0.869,0.27,22,,,,1184,79.644,two_point,5,6,0.899,0.115,28
99,126.774,0,3,3,0.861,0.286,0,,,98,136.977,one_point,5,6,0.861,0.19,24,,,,896,79.667,two_point,5,6,0.927,0.107,26
100,92.049,0,3,3,0.855,0.287,0,,,99,126.774,one_point,3,6,0.861,0.286,20,,,,1041,79.689,one_point,5,6,0.946,0.2,26
101,119.479,0,3,3,0.863,0.198,0,,,100,92.049,one_point,3,6,0.855,0.287,20,,,,513,79.75,one_point,3,6,0.942,0.103,26
102,185.111,0,3,1,0.855,0.21,0,,,101,119.479,one_point,3,6,0.863,0.198,20,,,,1218,79.805,one_point,5,6,0.944,0.218,28
103,268.067,0,3,1,0.855,0.291,0,,,102,185.111,one_point,3,2,0.855,0.21,20,,,,360,79.934,one_point,5,6,0.853,0.118,28
104,186.584,0,3,1,0.854,0.284,0,,,103,268.067,one_point,3,2,0.855,0.291,20,,,,191,79.959,one_point,6,6,0.851,0.219,22
105,282.699,0,5,1,0.901,0.183,2,,,104,186.584,one_point,3,2,0.854,0.284,20,,,,65,80.087,one_point,5,6,0.857,0.204,28
106,148.922,0,5,1,0.868,0.186,2,,,105,282.699,one_point,5,2,0.901,0.183,24,,,,587,80.148,two_point,5,6,0.823,0.24,24
107,282.02,0,5,1,0.838,0.182,2,,,106,148.922,one_point,5,2,0.868,0.186,24,,,,293,80.174,one_point,6,6,0.875,0.237,22
108,105.695,0,5,3,0.905,0.188,2,,,107,282.02,one_point,5,2,0.838,0.182,24,,,,1331,80.174,two_point,5,6,0.841,0.1,26
109,129.719,0,5,3,0.838,0.188,2,,,108,105.695,one_point,5,6,0.905,0.188,24,,,,1119,80.196,two_point,5,6,0.843,0.208,26
110,103.234,0,5,3,0.867,0.187,2,,,109,129.719,one_point,5,6,0.838,0.188,24,,,,707,80.197,two_point,5,6,0.835,0.228,24
111,159.287,0,5,3,0.907,0.183,2,,,110,103.234,one_point,5,6,0.867,0.187,24,,,,1342,80.225,one_point,5,6,0.947,0.244,28
112,112.597,1,5,3,0.824,0.198,4,,,111,159.287,one_point,5,6,0.907,0.183,24,,,,640,80.277,one_point,5,6,0.825,0.107,24
113,98.231,0,5,3,0.878,0.283,4,,,112,112.597,two_point,5,6,0.824,0.198,28,,,,616,80.575,one_point,4,6,0.836,0.247,24
114,100.918,1,5,3,0.863,0.209,4,,,113,98.231,one_point,5,6,0.878,0.283,28,,,,847,80.619,one_point,5,6,0.935,0.217,26
115,111.162,1,5,3,0.824,0.199,4,,,114,100.918,two_point,5,6,0.863,0.209,28,,,,340,80.664,uniform,6,6,0.95,0.236,22
116,117.899,1,5,3,0.824,0.283,4,,,115,111.162,two_point,5,6,0.824,0.199,28,,,,1023,80.672,one_point,5,6,0.845,0.19,26
117,147.085,0,5,3,0.877,0.251,4,,,116,117.899,two_point,5,6,0.824,0.283,28,,,,705,80.674,two_point,5,6,0.842,0.228,24
118,112.136,0,6,3,0.824,0.267,1,,,117,147.085,one_point,5,6,0.877,0.251,28,,,,1304,80.71,one_point,5,6,0.946,0.112,22
119,106.35,1,6,3,0.832,0.267,1,,,118,112.136,one_point,6,6,0.824,0.267,22,,,,1426,80.845,two_point,5,6,0.938,0.212,26
120,85.557,0,6,3,0.851,0.27,1,,,119,106.35,two_point,6,6,0.832,0.267,22,,,,1171,80.905,two_point,5,6,0.845,0.109,24
121,120.445,0,6,3,0.808,0.299,1,,,120,85.557,one_point,6,6,0.851,0.27,22,,,,138,80.924,one_point,6,6,0.844,0.108,26
122,75.987,0,6,3,0.851,0.299,1,,,121,120.445,one_point,6,6,0.808,0.299,22,,,,857,81.003,one_point,5,6,0.935,0.208,26
123,102.064,0,6,3,0.813,0.263,1,,,122,75.987,one_point,6,6,0.851,0.299,22,,,,528,81.04,uniform,5,6,0.844,0.114,28
124,155.827,0,6,3,0.851,0.276,1,,,123,102.064,one_point,6,6,0.813,0.263,22,,,,1446,81.055,one_point,5,6,0.84,0.109,26
125,134.721,0,6,3,0.812,0.263,1,,,124,155.827,one_point,6,6,0.851,0.276,22,,,,1397,81.108,two_point,5,6,0.929,0.1,28
126,137.793,0,6,2,0.851,0.299,1,,,125,134.721,one_point,6,6,0.812,0.263,22,,,,736,81.167,one_point,5,6,0.815,0.113,26
127,144.731,0,6,3,0.85,0.275,1,,,126,137.793,one_point,6,4,0.851,0.299,22,,,,1173,81.262,uniform,5,6,0.845,0.208,24
128,99.465,0,6,3,0.861,0.294,1,,,127,144.731,one_point,6,6,0.85,0.275,22,,,,925,81.583,two_point,5,6,0.948,0.193,26
129,116.5,0,6,3,0.861,0.258,1,,,128,99.465,one_point,6,6,0.861,0.294,22,,,,599,81.636,two_point,5,6,0.841,0.105,24
130,103.877,0,6,3,0.861,0.292,1,,,129,116.5,one_point,6,6,0.861,0.258,22,,,,1409,81.671,two_point,5,6,0.926,0.217,28
131,119.883,0,6,3,0.86,0.203,1,,,130,103.877,one_point,6,6,0.861,0.292,22,,,,418,81.82,two_point,6,6,0.847,0.235,28
132,77.209,0,6,3,0.844,0.291,1,,,131,119.883,one_point,6,6,0.86,0.203,22,,,,1443,81.98,one_point,4,6,0.943,0.104,30
133,107.226,0,6,3,0.859,0.292,1,,,132,77.209,one_point,6,6,0.844,0.291,22,,,,1377,82.1,one_point,5,6,0.837,0.114,26
134,100.308,0,6,3,0.86,0.294,1,,,133,107.226,one_point,6,6,0.859,0.292,22,,,,472,82.2,two_point,4,6,0.824,0.1,28
135,108.156,0,6,3,0.843,0.281,1,,,134,100.308,one_point,6,6,0.86,0.294,22,,,,419,82.22,one_point,6,6,0.848,0.235,30
136,96.354,0,6,3,0.872,0.289,1,,,135,108.156,one_point,6,6,0.843,0.281,22,,,,399,82.239,one_point,6,6,0.864,0.201,22
137,143.526,0,6,3,0.844,0.281,1,,,136,96.354,one_point,6,6,0.872,0.289,22,,,,516,82.268,one_point,3,6,0.823,0.297,26
