number,value,crossover_type,k,n_elites,p_crossover_max,p_crossover_min,pop_size,rosenbrock_mean,salomon_mean,whitley_mean
1754,24.870330662102532,one_point,2,2,0.8992892287279972,0.10304778349582744,20,16.974591265644627,0.25987334701850295,57.376527373644464
2096,24.93225321476491,one_point,3,2,0.9017371499678634,0.26826437492657623,30,14.114887660467906,0.2398733460864003,60.441998637740426
1981,24.934267458837457,one_point,3,2,0.885112716617752,0.2358378832949734,30,14.947367385103792,0.2798733561080141,59.57556163530057
1806,24.95131946340498,one_point,3,2,0.8848887530990615,0.2364414978052054,30,13.918565086303886,0.23987334805270644,60.695519955858344
1121,24.970580908143685,uniform,3,2,0.8221198566755387,0.10955585965965471,20,13.985703578977057,0.2798733460977166,60.646165799356275
2054,24.982764398692282,one_point,3,2,0.8898342512849287,0.12897131265841164,26,31.254040300639094,0.2598733463524038,43.43437954908535
1119,25.030527927855974,two_point,3,2,0.8238843153584107,0.2686596762382489,20,15.202371372941707,0.3198733474084619,59.56933906321776
1582,25.105570388536737,one_point,3,2,0.8818304134161477,0.255466535742041,30,14.890223363190604,0.2998733469632857,60.12661445545632
1969,25.12964648726067,one_point,3,4,0.8893666122470592,0.22840113351770056,30,17.81281737396066,0.27987334651541934,57.29624874130592
804,25.151104424505387,one_point,3,2,0.9138760277176665,0.26289328868375755,26,13.225504909558541,0.25987334747206575,61.967935016485555
902,25.15552104408876,two_point,4,2,0.9144689549782355,0.2734220979482179,26,13.827207480625939,0.2998733460360604,61.33948230560429
1661,25.188405307237918,one_point,3,2,0.8886410632287945,0.24647038600285479,30,13.719922870900493,0.2798733476582783,61.56541970315499
1362,25.217761143615125,one_point,4,4,0.8908372747324499,0.23523012864624046,30,29.292517855499916,0.2798733466427427,46.080892228702716
1515,25.23821206566096,one_point,3,2,0.8653209173583201,0.10979959707492845,30,13.823996131243351,0.2598733460000193,61.630766719739505
1654,25.278731701931658,one_point,3,2,0.8926627260914404,0.25162690917851477,26,13.805544701615256,0.3398733458916692,61.69077705828804
829,25.2894687830926,two_point,3,2,0.9126059299898096,0.26429747963798733,28,25.749736848563295,0.31987334760774566,49.798796153106764
1983,25.30734815995143,one_point,3,2,0.848356541747651,0.24383996392917692,30,13.965672878111548,0.2598733491624419,61.696498252580305
1322,25.31554551514144,one_point,4,2,0.8869107533509706,0.24444364436335117,30,13.687927404637886,0.29987334597508564,61.95883579481135
1047,25.31576297152981,one_point,3,2,0.9127115761447182,0.10051106068511724,22,13.97040201862094,0.2598733464812035,61.7170135494873
1229,25.370436002979403,two_point,3,4,0.8983421256821886,0.2587103416723986,28,13.6461373516008,0.31987334601751255,62.145297311319894
623,25.38567641392757,two_point,3,2,0.8891071955810324,0.25027174543608927,30,13.547081320848552,0.2398733465531008,62.370074574381064
657,25.388472718486668,two_point,3,2,0.8218418951715823,0.22340672189244043,22,17.15660557968004,0.2998733460827538,58.70893922969721
797,25.390076283422943,one_point,3,4,0.9179550670755587,0.27031302595073786,26,13.72757969095294,0.3398733461248599,62.10277581319102
1867,25.404822183869097,one_point,3,4,0.8843522787141644,0.12575402242394973,26,13.913678387349696,0.29987334598421655,62.00091481827337
1526,25.44917618460765,one_point,3,4,0.8852609608717953,0.22319825909997584,22,13.60904867876926,0.31987334688296,62.418606528170734
634,25.45469732404545,two_point,3,2,0.8259585423301793,0.21946258483643596,22,13.99403546782068,0.25987334803013445,62.11018315628553
518,25.45844982113027,one_point,3,2,0.9088512700298157,0.2732210205492531,30,13.81959037688297,0.2798733463420192,62.27588574016581
1189,25.460253607779325,uniform,3,2,0.8494200929783713,0.27757341411204395,22,25.95210600377199,0.2798733459561654,50.14878147360982
1345,25.46532081762659,one_point,4,2,0.8803956873682991,0.23003756832397326,30,13.706842127064581,0.27987334597543606,62.40924697983976
583,25.48409603332779,one_point,3,2,0.8458458239009383,0.2661314190278986,28,30.911990759687832,0.25987334629054815,45.280423994005
1051,25.583710369921448,one_point,3,2,0.8561784727186725,0.26938898197762584,22,14.471053750936818,0.29987334592643444,61.9802040129011
935,25.641829222103258,uniform,3,2,0.9050167947098525,0.2637787379628767,30,13.707683945039264,0.23987334692057233,62.977930374349945
780,25.71100369812734,one_point,3,2,0.9061297597581423,0.27326399902559473,26,17.65985825071227,0.27987334616746506,59.193279497502274
2028,25.7479793285177,one_point,3,4,0.8787132631804709,0.24369505358046625,30,13.332797606129848,0.299873346165617,63.61126703325764
915,25.756940862536634,one_point,3,2,0.900799735182892,0.2680094901746977,20,27.306912122775607,0.2998733464607132,49.66403711837357
366,25.784958560138993,uniform,3,2,0.9091449119177338,0.25635587153202277,26,13.903426489852432,0.29987334597429427,63.151575844590255
904,25.798982778602767,two_point,4,2,0.8799082088301023,0.24634165247093973,26,17.56183003007157,0.279873351445645,59.555244954291084
1750,25.807969067016472,one_point,3,2,0.8506366212384304,0.10028536806351113,30,13.298325701053122,0.2398733607905866,63.88570813920571
1599,25.822590991343006,one_point,5,2,0.8179027045855288,0.25087548355605305,30,27.494903283621547,0.27987376852374923,49.69299592188372
1209,25.85378324059044,uniform,3,2,0.9036827472953116,0.15900631333263845,20,13.946043769336068,0.2798733461739288,63.33543260626133
449,25.876493016493935,uniform,3,2,0.9165682307009079,0.2687571184117577,28,13.483833140692976,0.25987334715314914,63.88577256163567
1053,25.876616983032232,uniform,3,2,0.9258513987602573,0.257418527598415,22,14.309382892128093,0.31987334627197234,63.000594710696625
2032,25.90318064634312,two_point,3,4,0.8965822937888392,0.23265564792131457,30,12.224113352212404,0.25987334611944457,65.22555524069752
952,26.019866727761848,two_point,3,2,0.8471546245623529,0.27293594193022425,30,14.003255904849834,0.2598733461892926,63.796470932246415
1631,26.021189784565966,one_point,3,2,0.890463049432705,0.25469155456530906,30,31.5387263793583,0.21987334844412118,46.30496962589548
989,26.036267428021233,uniform,4,2,0.9129370261729665,0.2427438035390498,24,14.272426813957674,0.2798733461254597,63.556502123980565
199,26.09790863996945,uniform,5,4,0.8367810012737814,0.26965295790587923,24,14.893361534041375,0.2998733472426262,63.100491038624355
17,26.166127992628187,uniform,5,4,0.9040998845301771,0.10622244291126703,20,13.518284401519029,0.39987334783361017,64.58022622853191
646,26.188849526438435,two_point,2,2,0.8437610776354834,0.21473498731997856,22,14.204186626621572,0.2198733566348153,64.14248859605893
298,26.280482441348976,uniform,4,2,0.9055800315026301,0.2632472583375934,30,17.564095299253502,0.2798733460442465,60.997478678749175
1753,26.288865233315807,one_point,2,2,0.8886528740379662,0.10335341318010306,30,14.571177494365461,0.2998734274343269,63.99554477814763
1604,26.340289624748113,one_point,5,4,0.8956993941889135,0.24709640646469824,30,13.285775528049072,0.3398733458710134,65.39522000032426
1153,26.36352120493399,uniform,3,6,0.8969521980259217,0.21127824717105204,28,13.660230997400078,0.3398733471571541,65.09045927024474
1676,26.444977920841023,two_point,3,4,0.816530871677002,0.24414649053978751,30,13.240342478278652,0.23987334601730104,65.85471793822711
414,26.540461614993102,uniform,3,2,0.9070705201743469,0.2627478634888282,28,32.640604229365536,0.31987334621436664,46.660907269399395
1780,26.552539983041694,one_point,3,2,0.8872062119754159,0.2537266491149038,22,29.32029985093563,0.2798733463691848,50.05744675182026
1447,26.579117862319595,one_point,3,2,0.8886982950879054,0.2501067382183799,30,13.69493799103754,0.2398733463007748,65.80254224962047
1124,26.596146017885292,uniform,3,2,0.8204404787578814,0.261770204752022,28,13.737317014753842,0.29987335915465146,65.7512476797474
1444,26.621830844650663,one_point,3,2,0.8883679130607317,0.24119159633399628,20,31.600430581890254,0.27987334979037914,47.98518860227136
1851,26.683343491972177,one_point,3,4,0.8812337745218524,0.12012009694784026,20,34.43748105065926,0.31987334591399336,45.29267607934328
1756,26.71529685529848,two_point,2,2,0.8990165321703033,0.11381245623454998,20,13.88504571155966,0.27987334630087257,65.98097150803491
